feature,mean_abs_shap
alpha_theta_ratio_FT8,0.004740807198017846
spectral_entropy_FC6,0.0046694926100324914
spectral_entropy_PPO6h,0.004632395713268118
hjorth_complexity_AF4,0.00463118015200625
hjorth_mobility_Fp1,0.004606058447397458
hjorth_complexity_CPP1h,0.004583787116251426
spectral_entropy_P5,0.004577710369848642
alpha_theta_ratio_FFC6h,0.004566981786120836
hjorth_complexity_P5,0.004531627893127857
spectral_entropy_CCP4h,0.004487818030793567
alpha_theta_ratio_CCP1h,0.004395631993385427
hjorth_complexity_FFT9h,0.00436768622685242
alpha_theta_ratio_P4,0.00434752729499735
alpha_theta_ratio_TP7,0.00432214794951334
alpha_theta_ratio_PO9,0.004317977709341092
spectral_entropy_FC1,0.004303669970359993
alpha_theta_ratio_F2,0.00430186888495886
hjorth_mobility_Oz,0.004298422786868034
spectral_entropy_CP1,0.00422244147484985
spectral_entropy_AFF1h,0.004212686646485503
hjorth_mobility_CCP4h,0.00421158027744824
alpha_theta_ratio_O2,0.004210082778925743
alpha_theta_ratio_F6,0.004152272494501283
spectral_entropy_F1,0.004138993932903373
hjorth_mobility_CP3,0.0041051061066621625
hjorth_mobility_PO8,0.004102301064550275
alpha_theta_ratio_C3,0.004076762787853661
alpha_theta_ratio_FC5,0.004073526029890067
hjorth_mobility_FFC5h,0.004052330006445467
hjorth_mobility_POO1,0.004029947320703464
alpha_theta_ratio_OI2h,0.003986528126125652
hjorth_complexity_CCP2h,0.003965157159594846
alpha_theta_ratio_PPO6h,0.003910206840226516
hjorth_complexity_F6,0.0038919781462791445
alpha_theta_ratio_AFF5h,0.003873223998046991
hjorth_complexity_CPP5h,0.0038674231587632244
alpha_theta_ratio_POO9h,0.0037674903869704844
hjorth_mobility_Fp2,0.003694755873310055
spectral_entropy_TPP8h,0.0036843537667839025
hjorth_mobility_F5,0.003621191986547909
alpha_theta_ratio_PPO1h,0.0035923553419863687
alpha_theta_ratio_F1,0.003582982279071361
hjorth_mobility_CPP2h,0.0035565222410056463
alpha_theta_ratio_C1,0.0034810396480181435
hjorth_mobility_FFT8h,0.0034710726027385066
hjorth_complexity_AFF2h,0.003410448667890389
alpha_theta_ratio_FCC6h,0.0034016509656057993
alpha_theta_ratio_AFF6h,0.0033367634202883345
spectral_entropy_P2,0.0033350545623466433
alpha_theta_ratio_CPP4h,0.0033316454963920614
alpha_theta_ratio_PO8,0.0033272300660226995
alpha_theta_ratio_FCC4h,0.0032974556796902033
hjorth_complexity_F8,0.0032606397148652235
hjorth_complexity_CP3,0.003249788583806592
alpha_theta_ratio_FFT7h,0.0032005525524009633
hjorth_mobility_P1,0.0031909851942548352
spectral_entropy_PO10,0.003123338758994284
hjorth_mobility_FCC4h,0.0031227326657087976
hjorth_mobility_CCP6h,0.003112183419473161
hjorth_complexity_PO3,0.0030877946730838916
spectral_entropy_FCC6h,0.0030828709842794146
spectral_entropy_TTP8h,0.00307468247398856
alpha_theta_ratio_C2,0.0030448529733026488
hjorth_mobility_AF8,0.0030393317329596554
alpha_theta_ratio_F5,0.0030049098785607763
spectral_entropy_Fz,0.0029506071510084645
spectral_entropy_C2,0.0029194998147912534
hjorth_complexity_POO2,0.002883418664625901
alpha_theta_ratio_P10,0.0028825436980522393
alpha_theta_ratio_FFC3h,0.002880545094610475
hjorth_mobility_FFC1h,0.0028688457907921953
alpha_theta_ratio_F3,0.0028639472639588296
hjorth_complexity_AFF1h,0.002798661518656047
alpha_theta_ratio_AF7,0.002797469579437619
spectral_entropy_FFT8h,0.00279397949606797
hjorth_mobility_AFF1h,0.0027772683926317304
hjorth_mobility_PPO6h,0.002755742070297723
alpha_theta_ratio_FFC2h,0.002713144214221344
hjorth_complexity_P2,0.002671626290244666
spectral_entropy_CPP2h,0.002670106188727405
alpha_theta_ratio_FFT9h,0.002668144212432491
hjorth_mobility_FT7,0.002636670285416371
spectral_entropy_P6,0.0026332344798757866
hjorth_mobility_F2,0.002602456062808268
hjorth_mobility_CP2,0.002566933515778282
spectral_entropy_FFT7h,0.0025598926140784294
spectral_entropy_P3,0.0025424050814057087
alpha_theta_ratio_FTT9h,0.0025420274864425755
alpha_theta_ratio_AF8,0.0024987840799636615
hjorth_complexity_F2,0.0024775916842215695
alpha_theta_ratio_FC6,0.002412464884082261
hjorth_mobility_AFF6h,0.002403643672790136
spectral_entropy_CPP5h,0.0024022188954358425
